,realtime_start,date,value
327,2003-12-10 00:00:00,1955-01-01 00:00:00,402.6
328,2013-07-31 00:00:00,1955-01-01 00:00:00,413.8
329,2017-10-27 00:00:00,1955-01-01 00:00:00,413.753
330,2018-07-27 00:00:00,1955-01-01 00:00:00,413.073
331,1992-12-22 00:00:00,1955-04-01 00:00:00,400.6
332,1996-01-19 00:00:00,1955-04-01 00:00:00,
333,1997-05-07 00:00:00,1955-04-01 00:00:00,411.3
334,1999-10-28 00:00:00,1955-04-01 00:00:00,
335,2000-04-27 00:00:00,1955-04-01 00:00:00,411.4
336,2003-12-10 00:00:00,1955-04-01 00:00:00,410.9
337,2013-07-31 00:00:00,1955-04-01 00:00:00,422.2
338,2017-10-27 00:00:00,1955-04-01 00:00:00,422.226
339,2018-07-27 00:00:00,1955-04-01 00:00:00,421.532
340,1992-12-22 00:00:00,1955-07-01 00:00:00,408.9
341,1996-01-19 00:00:00,1955-07-01 00:00:00,
342,1997-05-07 00:00:00,1955-07-01 00:00:00,419.8
343,1999-10-28 00:00:00,1955-07-01 00:00:00,
344,2000-04-27 00:00:00,1955-07-01 00:00:00,419.9
345,2003-12-10 00:00:00,1955-07-01 00:00:00,419.5
346,2009-07-31 00:00:00,1955-07-01 00:00:00,419.4
347,2013-07-31 00:00:00,1955-07-01 00:00:00,430.9
348,2017-10-27 00:00:00,1955-07-01 00:00:00,430.925
349,2018-07-27 00:00:00,1955-07-01 00:00:00,430.221
350,1992-12-22 00:00:00,1955-10-01 00:00:00,415.2
351,1996-01-19 00:00:00,1955-10-01 00:00:00,
352,1997-05-07 00:00:00,1955-10-01 00:00:00,426.4
353,1999-10-28 00:00:00,1955-10-01 00:00:00,
354,2000-04-27 00:00:00,1955-10-01 00:00:00,426.4
355,2003-12-10 00:00:00,1955-10-01 00:00:00,426.0
356,2013-07-31 00:00:00,1955-10-01 00:00:00,437.8
357,2017-10-27 00:00:00,1955-10-01 00:00:00,437.787
358,2018-07-27 00:00:00,1955-10-01 00:00:00,437.092
359,1992-12-22 00:00:00,1956-01-01 00:00:00,417.6
360,1996-01-19 00:00:00,1956-01-01 00:00:00,
361,1997-05-07 00:00:00,1956-01-01 00:00:00,429.0
362,1999-10-28 00:00:00,1956-01-01 00:00:00,
363,2000-04-27 00:00:00,1956-01-01 00:00:00,428.8
364,2003-12-10 00:00:00,1956-01-01 00:00:00,428.3
365,2013-07-31 00:00:00,1956-01-01 00:00:00,440.5
366,2017-10-27 00:00:00,1956-01-01 00:00:00,440.491
367,2018-07-27 00:00:00,1956-01-01 00:00:00,439.746
368,1992-12-22 00:00:00,1956-04-01 00:00:00,423.1
369,1996-01-19 00:00:00,1956-04-01 00:00:00,
370,1997-05-07 00:00:00,1956-04-01 00:00:00,434.7
371,1999-10-28 00:00:00,1956-04-01 00:00:00,
372,2000-04-27 00:00:00,1956-04-01 00:00:00,434.7
373,2003-12-10 00:00:00,1956-04-01 00:00:00,434.2
374,2013-07-31 00:00:00,1956-04-01 00:00:00,446.8
375,2017-10-27 00:00:00,1956-04-01 00:00:00,446.771
376,2018-07-27 00:00:00,1956-04-01 00:00:00,446.01
377,1992-12-22 00:00:00,1956-07-01 00:00:00,427.8
378,1996-01-19 00:00:00,1956-07-01 00:00:00,
379,1997-05-07 00:00:00,1956-07-01 00:00:00,439.6
380,1999-10-28 00:00:00,1956-07-01 00:00:00,
381,2000-04-27 00:00:00,1956-07-01 00:00:00,439.7
382,2003-12-10 00:00:00,1956-07-01 00:00:00,439.3
383,2009-07-31 00:00:00,1956-07-01 00:00:00,439.2
384,2013-07-31 00:00:00,1956-07-01 00:00:00,452.0
385,2017-10-27 00:00:00,1956-07-01 00:00:00,451.983
386,2018-07-27 00:00:00,1956-07-01 00:00:00,451.191
387,1992-12-22 00:00:00,1956-10-01 00:00:00,436.5
388,1996-01-19 00:00:00,1956-10-01 00:00:00,
389,1997-05-07 00:00:00,1956-10-01 00:00:00,448.5
390,1999-10-28 00:00:00,1956-10-01 00:00:00,
391,2000-04-27 00:00:00,1956-10-01 00:00:00,448.6
392,2003-12-10 00:00:00,1956-10-01 00:00:00,448.1
393,2013-07-31 00:00:00,1956-10-01 00:00:00,461.3
394,2017-10-27 00:00:00,1956-10-01 00:00:00,461.278
395,2018-07-27 00:00:00,1956-10-01 00:00:00,460.463
396,1992-12-22 00:00:00,1957-01-01 00:00:00,444.9
397,1996-01-19 00:00:00,1957-01-01 00:00:00,
398,1997-05-07 00:00:00,1957-01-01 00:00:00,457.2
399,1999-10-28 00:00:00,1957-01-01 00:00:00,
400,2000-04-27 00:00:00,1957-01-01 00:00:00,457.6
401,2003-12-10 00:00:00,1957-01-01 00:00:00,457.2
402,2013-07-31 00:00:00,1957-01-01 00:00:00,470.6
403,2017-10-27 00:00:00,1957-01-01 00:00:00,470.578
404,2018-07-27 00:00:00,1957-01-01 00:00:00,469.779
405,1992-12-22 00:00:00,1957-04-01 00:00:00,446.6
406,1996-01-19 00:00:00,1957-04-01 00:00:00,
407,1997-05-07 00:00:00,1957-04-01 00:00:00,459.0
408,1999-10-28 00:00:00,1957-04-01 00:00:00,
409,2000-04-27 00:00:00,1957-04-01 00:00:00,459.6
410,2003-12-10 00:00:00,1957-04-01 00:00:00,459.2
411,2013-07-31 00:00:00,1957-04-01 00:00:00,472.8
412,2017-10-27 00:00:00,1957-04-01 00:00:00,472.835
413,2018-07-27 00:00:00,1957-04-01 00:00:00,472.025
414,1992-12-22 00:00:00,1957-07-01 00:00:00,453.9
415,1996-01-19 00:00:00,1957-07-01 00:00:00,
416,1997-05-07 00:00:00,1957-07-01 00:00:00,466.4
417,1999-10-28 00:00:00,1957-07-01 00:00:00,
418,2000-04-27 00:00:00,1957-07-01 00:00:00,466.8
419,2003-12-10 00:00:00,1957-07-01 00:00:00,466.4
420,2013-07-31 00:00:00,1957-07-01 00:00:00,480.3
421,2017-10-27 00:00:00,1957-07-01 00:00:00,480.315
422,2018-07-27 00:00:00,1957-07-01 00:00:00,479.49
423,1992-12-22 00:00:00,1957-10-01 00:00:00,449.0
424,1996-01-19 00:00:00,1957-10-01 00:00:00,
425,1997-05-07 00:00:00,1957-10-01 00:00:00,461.6
426,1999-10-28 00:00:00,1957-10-01 00:00:00,
427,2000-04-27 00:00:00,1957-10-01 00:00:00,462.0
428,2003-12-10 00:00:00,1957-10-01 00:00:00,461.5
429,2013-07-31 00:00:00,1957-10-01 00:00:00,475.7
430,2017-10-27 00:00:00,1957-10-01 00:00:00,475.681
431,2018-07-27 00:00:00,1957-10-01 00:00:00,474.864
432,1992-12-22 00:00:00,1958-01-01 00:00:00,441.6
433,1996-01-19 00:00:00,1958-01-01 00:00:00,
434,1997-05-07 00:00:00,1958-01-01 00:00:00,454.0
435,1999-10-28 00:00:00,1958-01-01 00:00:00,
436,2000-04-27 00:00:00,1958-01-01 00:00:00,454.6
437,2003-12-10 00:00:00,1958-01-01 00:00:00,454.0
438,2009-07-31 00:00:00,1958-01-01 00:00:00,453.9
439,2013-07-31 00:00:00,1958-01-01 00:00:00,468.4
440,2017-10-27 00:00:00,1958-01-01 00:00:00,468.353
441,2018-07-27 00:00:00,1958-01-01 00:00:00,467.54
442,1992-12-22 00:00:00,1958-04-01 00:00:00,445.8
443,1996-01-19 00:00:00,1958-04-01 00:00:00,
444,1997-05-07 00:00:00,1958-04-01 00:00:00,458.3
